C,CE,S,P,YieldStrength,Elongation,Process
0,0,0.158854167,0,0,1,1
0.025157233,0.039039039,0.208333333,0,0.010989011,1,1
0.056603774,0.079079079,0.247395833,0,0.043956044,0.9,1
0.465408805,0.41041041,0.263020833,0,0.054945055,0.9,1
0.088050314,0.169169169,0.416666667,0,0.087912088,0.75,1
0.113207547,0.133133133,0.270833333,0,0.076923077,0.8,1
0.113207547,0.193193193,0.427083333,0,0.120879121,0.75,1
0.113207547,0.213213213,0.479166667,0,0.131868132,0.75,1
0.157232704,0.175175175,0.2890625,0,0.087912088,0.75,1
0.150943396,0.229229229,0.442708333,0,0.142857143,0.7,1
0.157232704,0.255255255,0.497395833,0,0.153846154,0.65,1
0.182389937,0.199199199,0.299479167,0,0.10989011,0.75,1
0.176100629,0.413413413,0.869791667,0,0.263736264,0.5,1
0.213836478,0.229229229,0.3125,0,0.120879121,0.75,1
0.213836478,0.289289289,0.46875,0,0.164835165,0.7,1
0.220125786,0.415415415,0.783854167,0,0.263736264,0.4,1
0.289308176,0.361361361,0.5,0,0.208791209,0.5,1
0.339622642,0.409409409,0.520833333,0,0.230769231,0.4,1
0.320754717,0.511511511,0.825520833,0,0.32967033,0.3,1
0.339622642,0.429429429,0.572916667,0,0.252747253,0.4,1
0.383647799,0.451451451,0.5390625,0,0.263736264,0.4,1
0.408805031,0.495495495,0.6015625,0,0.296703297,0.3,1
0.408805031,0.475475475,0.549479167,0,0.274725275,0.4,1
0.402515723,0.629629629,0.963541667,0,0.406593407,0.25,1
0.446540881,0.511511511,0.565104167,0,0.307692308,0.3,1
0.446540881,0.531531532,0.6171875,0,0.318681319,0.3,1
0.477987421,0.541541541,0.578125,0,0.318681319,0.3,1
0.48427673,0.567567568,0.6328125,0,0.351648352,0.25,1
0.490566038,0.713713713,1,0,0.428571429,0.25,1
0.503144654,0.665665665,0.848958333,0,0.43956044,0.2,1
0.522012579,0.583583583,0.596354167,0,0.362637363,0.25,1
0.547169811,0.607607607,0.606770833,0,0.384615385,0.25,1
0.540880503,0.721721721,0.916666667,0,0.538461538,0.1,1
0.591194969,0.649649649,0.625,0,0.417582418,0.1,1
0.65408805,0.709709709,0.651041667,0,0.450549451,0.1,1
0.716981132,0.749749749,0.625,0,0.450549451,0.1,1
0.716981132,0.769769769,0.677083333,0,0.472527473,0.1,1
0.779874214,0.829829829,0.703125,0,0.483516484,0.1,1
0.716981132,0.769769769,0.677083333,0,0.516483516,0.1,1
0.465408805,0.536536536,0.591145833,0,0.472527473,0.1,1
0.842767296,0.902902902,0.763020833,0,0.571428571,0,1
0.842767296,0.912912913,0.7890625,0,0.626373626,0,1
1,1,0.690104167,0,0.648351648,0,1
0.402515723,0.492492492,0.606770833,0,0.571428571,0,1
0.842767296,0.924924925,0.8203125,0,0.648351648,0,1
0.402515723,0.509509509,0.651041667,0,0.637362637,0,1
0.062893082,0.145145145,0.40625,0.170542636,0.142857143,0.75,1
0.062893082,0.165165165,0.458333333,0.170542636,0.142857143,0.75,1
0.062893082,0.165165165,0.458333333,0.170542636,0.142857143,0.75,1
0.088050314,0.224224223,0.559895833,0.07751938,0.153846154,0.6,1
0.031446541,0.105105105,0.3671875,0,0.054945055,1,1
0.113207547,0.273273273,0.635416667,0,0.153846154,0.65,1
0.113207547,0.333333333,0.791666667,0,0.186813187,0.65,1
0.113207547,0.273273273,0.635416667,0,0.153846154,0.65,1
0.264150943,0.497497497,0.90625,0,0.32967033,0.3,1
0.34591195,0.575575575,0.940104167,0,0.362637363,0.25,1
0.408805031,0.495495495,0.6015625,0,0.296703297,0.3,1
0.41509434,0.641641641,0.96875,0,0.417582418,0.25,1
0.452830189,0.677677677,0.984375,0,0.43956044,0.25,1
0.471698113,0.555555556,0.627604167,0,0.351648352,0.25,1
0.547169811,0.627627628,0.658854167,0,0.406593407,0.25,1
0,0,0,0.07751938,0.263736264,0.5,2
0.025157233,0.039039039,0,0.108527132,0.263736264,0.5,2
